StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
AZ,Arizona,Glendale,City,427820,CrdPrv,37.3,37.2,37.5,"226,721","(33.5796123089, -112.225306421)",427820,
FL,Florida,Port St. Lucie,City,1258715,CrdPrv,37,36.7,37.3,"164,603","(27.2808680308, -80.3832154574)",1258715,
CO,Colorado,Aurora,Census Tract,0804000-08005083700,CrdPrv,27.6,26.3,29,"3,497","(39.6257152384, -104.818125995)",804000,8005083700
IL,Illinois,Joliet,Census Tract,1738570-17197882601,CrdPrv,34.3,33,35.6,"3,087","(41.5169533744, -88.1081697049)",1738570,17197882601
LA,Louisiana,Baton Rouge,City,2205000,AgeAdjPrv,38.6,38.4,38.8,"229,493","(30.4510891679, -91.1263551997)",2205000,
LA,Louisiana,Lake Charles,City,2241155,CrdPrv,41.3,41,41.7,"71,993","(30.2030679966, -93.2148796496)",2241155,
LA,Louisiana,Shreveport,City,2270000,AgeAdjPrv,38.6,38.4,38.8,"199,311","(32.4671618864, -93.7962236108)",2270000,
MI,Michigan,Rochester Hills,City,2669035,CrdPrv,31.8,31.5,32.2,"70,995","(42.6645256768, -83.1563037157)",2669035,
NY,New York,New York,Census Tract,3651000-36005021002,CrdPrv,40.8,39.5,42.2,"6,839","(40.8384723451, -73.8565194434)",3651000,36005021002
NY,New York,New York,Census Tract,3651000-36005046201,CrdPrv,39.6,38.4,40.8,"26,588","(40.8743832507, -73.827332985)",3651000,36005046201
NY,New York,New York,Census Tract,3651000-36047037300,CrdPrv,48.2,46.4,49.8,"3,784","(40.6839487839, -73.9152154005)",3651000,36047037300
NY,New York,New York,Census Tract,3651000-36047095400,CrdPrv,47.8,45.8,49.6,"4,607","(40.6389668844, -73.9146325629)",3651000,36047095400
NY,New York,New York,Census Tract,3651000-36061022301,CrdPrv,37.2,35.6,38.8,"7,917","(40.8223357595, -73.9576414876)",3651000,36061022301
NY,New York,New York,Census Tract,3651000-36081011600,CrdPrv,42.5,41.5,43.5,"2,178","(40.6888159312, -73.838815336)",3651000,36081011600
NY,New York,New York,Census Tract,3651000-36081071305,CrdPrv,35.4,34.2,36.7,"4,871","(40.7241594631, -73.8514860833)",3651000,36081071305
NC,North Carolin,Cary,Census Tract,3710740-37037020701,CrdPrv,24.8,22.7,27,"1,422","(35.827797641, -78.921620746)",3710740,37037020701
NC,North Carolin,Gastonia,City,3725580,CrdPrv,37.3,37,37.5,"71,741","(35.2472984431, -81.1836588468)",3725580,
NC,North Carolin,Raleigh,Census Tract,3755000-37183053709,CrdPrv,32,30.3,33.6,"6,443","(35.8673804313, -78.7289335621)",3755000,37183053709
NC,North Carolin,Winston-Salem,City,3775000,CrdPrv,35.9,35.7,36.1,"229,617","(36.1029453039, -80.2609889241)",3775000,
OH,Ohio,Toledo,Census Tract,3977000-39095001000,CrdPrv,46.5,45.2,47.7,"3,776","(41.6843325712, -83.5346466891)",3977000,39095001000
OK,Oklahoma,Oklahoma City,Census Tract,4055000-40109106610,CrdPrv,33,31.6,34.2,"1,418","(35.5325822577, -97.571468239)",4055000,40109106610
OR,Oregon,Beaverton,Census Tract,4105350-41067031813,CrdPrv,30.7,29.2,32.3,"5,427","(45.4398823637, -122.837811744)",4105350,41067031813
PA,Pennsylvania,Pittsburgh,Census Tract,4261000-42003130200,CrdPrv,49.7,47.9,51.3,"1,370","(40.4586936936, -79.8934943625)",4261000,42003130200
RI,Rhode Island,Providence,City,4459000,CrdPrv,41.1,40.9,41.4,"178,042","(41.823480533, -71.4218129335)",4459000,
SC,South Carolin,Charleston,Census Tract,4513330-45019002003,CrdPrv,31.1,29.5,32.8,"4,595","(32.7076401965, -79.9418500304)",4513330,45019002003
SC,South Carolin,Columbia,Census Tract,4516000-45079002200,CrdPrv,33.7,32.4,35,"1,278","(34.0062229823, -81.0007514834)",4516000,45079002200
SD,South Dakota,Rapid City,Census Tract,4652980-46103010500,CrdPrv,30,28.5,31.2,"3,484","(44.0780364209, -103.201727605)",4652980,46103010500
TN,Tennessee,Chattanooga,Census Tract,4714000-47065010901,CrdPrv,35.1,33.4,37.1,"1,457","(35.0553305719, -85.3330624598)",4714000,47065010901
TN,Tennessee,Nashville,Census Tract,4752006-47037015627,CrdPrv,43.8,42.6,45,"2,683","(36.0627541445, -86.6647320159)",4752006,47037015627
TX,Texas,Austin,Census Tract,4805000-48453001738,CrdPrv,27,26,28.1,"6,647","(30.2186732803, -97.859799421)",4805000,48453001738
TX,Texas,Austin,Census Tract,4805000-48453001824,CrdPrv,28.4,27.2,29.6,"1,734","(30.3851030924, -97.6791938103)",4805000,48453001824
TX,Texas,Denton,Census Tract,4819972-48121020505,CrdPrv,27.3,25.8,28.7,"6,474","(33.2423511143, -97.1074227745)",4819972,48121020505
TX,Texas,El Paso,Census Tract,4824000-48141010330,CrdPrv,37.8,35.8,39.7,"11,245","(31.7887990952, -106.252252479)",4824000,48141010330
TX,Texas,Garland,Census Tract,4829000-48113018126,CrdPrv,33.2,32.2,34.2,"6,536","(32.859406442, -96.6295800756)",4829000,48113018126
TX,Texas,Sugar Land,City,4870808,AgeAdjPrv,31.8,31.4,32.2,"78,817","(29.5974680902, -95.627455775)",4870808,
UT,Utah,Salt Lake City,City,4967000,CrdPrv,30.4,30.2,30.6,"186,440","(40.7778489465, -111.931220784)",4967000,
UT,Utah,West Valley City,Census Tract,4983470-49035113525,CrdPrv,33.3,32.4,34,"7,102","(40.6681644776, -112.056634915)",4983470,49035113525
VA,Virginia,Alexandria,Census Tract,5101000-51510200801,CrdPrv,27.8,26.9,28.8,"2,553","(38.8165993378, -77.0808788508)",5101000,51510200801
WA,Washington,Kent,City,5335415,CrdPrv,33.6,33.4,33.9,"92,411","(47.3849636272, -122.217890194)",5335415,
WA,Washington,Spokane,City,5367000,AgeAdjPrv,32.7,32.5,32.9,"208,916","(47.6736243259, -117.415973291)",5367000,
AL,Alabama,Montgomery,Census Tract,0151000-01101005301,CrdPrv,36.8,35.2,38.4,623,"(32.4067693075, -86.246702078)",151000,1101005301
AK,Alaska,Anchorage,Census Tract,0203000-02020000300,CrdPrv,31.2,29.3,32.7,"8,000","(61.2790073939, -149.659848642)",203000,2020000300
AK,Alaska,Anchorage,Census Tract,0203000-02020001300,CrdPrv,26.3,24.8,27.9,"3,059","(61.211610243, -149.949035802)",203000,2020001300
AL,Alabama,Huntsville,Census Tract,0137000-01089002400,CrdPrv,41.8,40.5,42.9,"4,744","(34.6908031806, -86.6186517968)",137000,1089002400
AL,Alabama,Birmingham,Census Tract,0107000-01073012200,CrdPrv,,,,23,"(33.5967441904, -87.0879396857)",107000,1073012200
